"","CumErr","CumPres"
"McFadden",0.0345212206169341,0.0034339203163461
"SquaredCorrelation",0.0404025729373601,0.00399157030360769
"Nagelkerke",0.0404025729373601,0.00399157030360769
"Estrella",0.0411502291581387,0.00408849906043846
