"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","pos","stimlen:pos","I(pos^2)","stimlen:I(pos^2)"
"preserved ~ pos",4453.09976559278,0,1,0.357456138082872,0.00401965267859767,1.20805872236337,NA,-0.05467374530813,NA,NA,NA
"preserved ~ stimlen + pos",4453.86744282088,0.767677228103821,0.681241361091352,0.243513906038034,0.00448619573778576,1.03862576976895,0.026059502417481,-0.062827418180215,NA,NA,NA
"preserved ~ I(pos^2) + pos",4454.48822817353,1.38846258074773,0.499458238810413,0.178534413178843,0.00425119240596248,1.28979061510589,NA,-0.105382724849051,NA,0.00582576733125546,NA
"preserved ~ stimlen + I(pos^2) + pos",4455.50029285128,2.40052725850546,0.301114818772825,0.107635340238058,0.00462516539887274,1.11845412209012,0.0236596416869731,-0.101933406600017,NA,0.00457967859152401,NA
"preserved ~ stimlen * pos",4455.83283880986,2.73307321707671,0.254988557204514,0.0911472249136492,0.00449929424526182,1.09385241582921,0.0193288670080772,-0.0808519395322293,0.00212217098459539,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",4459.43868832441,6.33892273163383,0.0420262285713674,0.0150225333633091,0.0046484819762087,1.08712387296765,0.0298871756549099,-0.109331495605061,-0.000628954236726841,0.0094431400461571,-0.000386555948647998
"preserved ~ 1",4461.70083545146,8.6010698586806,0.0135613027328511,0.00484757090225765,-3.22655368337472e-16,0.997660619334022,NA,NA,NA,NA,NA
"preserved ~ stimlen",4463.63513907968,10.5353734869032,0.00515552283661983,0.00184287328297618,2.49446758813127e-05,1.04000249464403,-0.00549332748099074,NA,NA,NA,NA
