"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","I(pos^2)","pos","CumErr"
"preserved ~ (I(pos^2) + pos) + CumErr",3751.17982394691,0,1,1,0.221990925117224,3.29108445451642,0.0493507110552231,-0.728840205984261,-0.500388187510253
"preserved ~ (I(pos^2) + pos)",3849.592735359,98.412911412086,4.2648897890572e-22,4.2648897890572e-22,0.188731706268889,3.2701435168686,0.0314161720393158,-0.698095342528356,NA
"preserved ~ CumErr",3935.07755478775,183.897730840835,1.16711897709294e-40,1.16711897709294e-40,0.159028874892805,1.50964392496347,NA,NA,-0.842508327215822
