"Description","ParameterValue"
"min preserved",0.30515873015873
"max preserved",1.02420634920635
"mean change in probability for each additional length: ",-0.0150009335390515
"mean change in probability for each additional position (excluding  U-shape): ",-0.055713718880961
"U-shape",0
