"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","I(pos^2)","pos","CumPres","log_freq","stimlen"
"preserved ~ (I(pos^2) + pos) + CumPres + stimlen",3696.38990340337,0,1,0.595570763486408,0.240415388226684,4.29716123599039,0.0591905446177938,-1.24921986168186,0.491198332824023,NA,-0.0686401081961882
"preserved ~ (I(pos^2) + pos) + CumPres + stimlen + log_freq",3698.10477499905,1.71487159568096,0.424248547806326,0.252670031525013,0.24050719948549,4.26877051647843,0.0591459337404416,-1.24897296114143,0.49147814505809,0.0119039247199051,-0.0649914540874457
"preserved ~ (I(pos^2) + pos) + CumPres",3700.1364894664,3.74658606303183,0.153616962485746,0.0914897716320987,0.23856351879222,3.80454573970786,0.0556922239771786,-1.2426721810489,0.495289149505827,NA,NA
"preserved ~ (I(pos^2) + pos) + CumPres + log_freq",3700.97129369618,4.58139029281483,0.101196091298487,0.0602694333564802,0.238939236197061,3.79982429980601,0.055965299376571,-1.24278748423035,0.495416395815076,0.0233797759019657,NA
"preserved ~ 1",4369.98678592419,673.59688252082,5.37397259009882e-147,3.20058095844018e-147,0,1.03534598973542,NA,NA,NA,NA,NA
