"","model","p_accounted_for","model_deviance","diff_pos","diff_pos+CumPres","diff_pos+CumPres+I(pos^2)","diff_pos+CumPres+I(pos^2)+stimlen"
"1","preserved ~ pos",0.828275026236742,3857.17438664212,0,-0.0823496265082724,-0.113871298010913,-0.115520262914373
"2","preserved ~ pos+CumPres",0.910624652745014,3730.80081917352,0.0823496265082724,0,-0.0315216715026407,-0.0331706364061009
"3","preserved ~ pos+CumPres+I(pos^2)",0.942146324247655,3692.1364894664,0.113871298010913,0.0315216715026407,0,-0.00164896490346012
"4","preserved ~ pos+CumPres+I(pos^2)+stimlen",0.943795289151115,3686.38990340337,0.115520262914373,0.0331706364061009,0.00164896490346012,0
