"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","I(pos^2)","pos","stimlen"
"preserved ~ (I(pos^2) + pos) + stimlen",3842.88209162663,0,1,0.966278675543797,0.191651852180762,3.87402391935375,0.0358833745076221,-0.711734737365212,-0.0831078339019664
"preserved ~ (I(pos^2) + pos)",3849.592735359,6.71064373237186,0.0348981358170045,0.0337213244562026,0.188731706268889,3.2701435168686,0.0314161720393158,-0.698095342528356,NA
"preserved ~ stimlen",4241.19805979584,398.315968169215,3.21208097486528e-87,3.10376535013225e-87,0.0495386027698015,3.06994054663276,NA,NA,-0.261547286863991
