"","Df","Deviance","AIC"
"pos",1,3872.93609261859,3880.93609261859
"CumPres",1,3834.88209162663,3842.88209162663
"I(pos^2)",1,3728.93089145272,3736.93089145272
"stimlen",1,3692.1364894664,3700.1364894664
"<none>",NA,3686.38990340337,3696.38990340337
