"","Df","Deviance","AIC"
"CumErr",1,1469.76132251512,1477.76132251512
"log_freq",1,1164.56849079448,1172.56849079448
"pos",1,1160.09119744545,1168.09119744545
"I(pos^2)",1,1154.95870201796,1162.95870201796
"<none>",NA,1152.3297003307,1162.3297003307
