"","Df","Deviance","AIC"
"CumErr",1,2136.26946333184,2212.24818342462
"log_freq",1,1454.46685827114,1530.44557836392
"I(pos^2)",1,1450.56025193682,1526.5389720296
"pos",1,1449.52861927077,1525.50733936356
"<none>",NA,1437.43605507562,1515.41477516841
