"","model","p_accounted_for","model_deviance","diff_CumErr","diff_CumErr+log_freq","diff_CumErr+log_freq+I(pos^2)","diff_CumErr+log_freq+I(pos^2)+pos"
"1","preserved ~ CumErr",0.964452259139287,1466.73350281184,0,-0.000397496763002714,-0.00391503104013124,-0.00738561338235844
"2","preserved ~ CumErr+log_freq",0.96484975590229,1450.56862596317,0.000397496763002714,0,-0.00351753427712853,-0.00698811661935572
"3","preserved ~ CumErr+log_freq+I(pos^2)",0.968367290179418,1449.52861927077,0.00391503104013124,0.00351753427712853,0,-0.00347058234222719
"4","preserved ~ CumErr+log_freq+I(pos^2)+pos",0.971837872521646,1437.43605507562,0.00738561338235844,0.00698811661935572,0.00347058234222719,0
