"","Df","Deviance","AIC"
"CumErr",1,2622.79596719115,2628.79596719115
"CumPres",1,2616.92300126987,2622.92300126987
"log_freq",1,2613.89186629453,2619.89186629453
"<none>",NA,2602.58480629903,2610.58480629903
