"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","CumPres","log_freq","stimlen"
"preserved ~ CumErr + CumPres + log_freq",2610.58480629903,0,1,0.517974571276775,0.0232152464577068,2.17706663062678,-0.347716783047206,0.104345889077169,0.0949121134201858,NA
"preserved ~ CumErr + CumPres + stimlen + log_freq",2610.82562513207,0.240818833046887,0.886557391158882,0.459214184597778,0.0240935484470581,2.50172545893437,-0.333100602925323,0.116207780261541,0.0850518082364373,-0.0465410837979908
"preserved ~ CumErr + CumPres + stimlen",2617.31773733882,6.7329310397904,0.0345114018929008,0.0178760285996357,0.019850413726545,2.6889690529113,-0.352354642105727,0.118615832517221,NA,-0.072237735804107
"preserved ~ CumErr + CumPres",2619.89186629453,9.30705999550582,0.00952790900018564,0.00493521457953528,0.0175614713034381,2.18796797425373,-0.381083770086081,0.0989637433324402,NA,NA
"preserved ~ 1",2650.82612189051,40.2413155914774,1.82687716361384e-09,9.46275915598211e-10,0,2.29574356117721,NA,NA,NA,NA
