"Description","ParameterValue"
"min preserved",0.816212217290214
"max preserved",0.997569224265483
"mean change in probability for each additional length: ",-0.00625020204686746
"mean change in probability for each additional position (excluding  U-shape): ",0.0043060820095815
"U-shape",0
