"","model","p_accounted_for","model_deviance","diff_CumPres","diff_CumPres+stimlen+log_freq","diff_CumPres+stimlen"
"1","preserved ~ CumPres",0.593154850130973,5128.67523711027,0,-0.0049869301197244,-0.00731338951406213
"2","preserved ~ CumPres+stimlen+log_freq",0.598141780250697,5105.80261550294,0.0049869301197244,0,-0.00232645939433773
"3","preserved ~ CumPres+stimlen",0.600468239645035,5110.3556401913,0.00731338951406213,0.00232645939433773,0
