"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumPres","stimlen","log_freq"
"preserved ~ CumPres + stimlen + log_freq",5113.80261550294,0,1,0.781855515446141,0.0692197634192165,0.602543168975398,0.339398184181274,-0.0742274821571521,0.0388210545380096
"preserved ~ CumPres + stimlen",5116.3556401913,2.55302468836635,0.279008691816137,0.218144484553859,0.0677533210770312,0.69805029057066,0.340222705326911,-0.0868803635173197,NA
"preserved ~ 1",5317.28578292322,203.483167420282,6.51915961737744e-45,5.09704090292031e-45,0,0.516001824851307,NA,NA,NA
