"Description","ParameterValue"
"min preserved",0.253724989357173
"max preserved",0.933163048105577
"mean change in probability for each additional length: ",-0.025469102955787
"mean change in probability for each additional position (excluding  U-shape): ",0.0442608336143607
"U-shape",0
