"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumPres","I(pos^2)","pos","stimlen"
"preserved ~ CumPres + stimlen",5116.3556401913,0,1,0.999714161713429,0.0677533210770312,0.69805029057066,0.340222705326911,NA,NA,-0.0868803635173197
"preserved ~ CumPres",5132.67523711027,0,1,0.846444891954702,0.0618361183350898,0.0656953296873789,0.315606577036562,NA,NA,NA
"preserved ~ CumPres",5132.67523711027,16.3195969189665,0.000285920013458234,0.000285838286571491,0.0618361183350898,0.0656953296873789,0.315606577036562,NA,NA,NA
"preserved ~ CumPres",5132.67523711027,0,1,0.669827769882373,0.0618361183350898,0.0656953296873789,0.315606577036562,NA,NA,NA
"preserved ~ CumPres + pos",5134.09004949367,1.41481238340384,0.492921083543009,0.330172230117616,0.0620255501868166,0.0259063646928988,0.294013405365757,NA,0.0187787711453495,NA
"preserved ~ CumPres + I(pos^2) + pos",5136.08920828173,3.41397117146153,0.181411819605512,0.153555108045293,0.062025822476796,0.0231877328517055,0.293973936143958,-0.000210760481506977,0.0205561435454235,NA
"preserved ~ pos",5196.13704935365,63.4618122433822,1.6574581273512e-14,1.11021148111706e-14,0.0411283354392556,-0.133163604727122,NA,NA,0.172697758366945,NA
"preserved ~ I(pos^2) + pos",5198.12532891984,65.4500918095728,6.13328496714586e-15,5.19148773134317e-15,0.0411321901059047,-0.14318774386164,NA,-0.000776568830157141,0.179195746241874,NA
"preserved ~ stimlen",5318.86471518656,202.509074995256,1.06099441329603e-44,1.06069114047087e-44,0.000142782135780581,0.612773713420916,NA,NA,NA,-0.012564338790736
