"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumPres","I(pos^2)","pos"
"preserved ~ CumPres",5132.67523711027,0,1,0.846444891954702,0.0618361183350898,0.0656953296873789,0.315606577036562,NA,NA
"preserved ~ CumPres + I(pos^2) + pos",5136.08920828173,3.41397117146153,0.181411819605512,0.153555108045293,0.062025822476796,0.0231877328517055,0.293973936143958,-0.000210760481506977,0.0205561435454235
"preserved ~ I(pos^2) + pos",5198.12532891984,65.4500918095728,6.13328496714586e-15,5.19148773134317e-15,0.0411321901059047,-0.14318774386164,NA,-0.000776568830157141,0.179195746241874
