"","stimlen","1","2","3","4","5","6","7","8","9"
"1",4,53,53,53,NA,NA,NA,NA,NA,NA
"2",5,85,86,87,87,NA,NA,NA,NA,NA
"3",6,101,99,96,100,106,NA,NA,NA,NA
"4",7,102,103,104,103,106,108,NA,NA,NA
"5",8,151,140,140,146,144,142,147,NA,NA
"6",9,87,82,81,80,84,84,86,89,NA
"7",10,80,78,76,76,78,77,78,81,82
