"","CumPres","stimlen","log_freq"
"McFadden",0.0368507640311925,0.0013707935887519,0.00118990132612083
"SquaredCorrelation",0.0475048370254662,0.00172576093203514,0.00153288249180605
"Nagelkerke",0.0475048370254662,0.00172576093203514,0.00153288249180605
"Estrella",0.0484108324863803,0.00179021233274577,0.00156279434604066
