"","Df","Deviance","AIC"
"CumPres",1,5309.06065431435,5315.06065431435
"stimlen",1,5118.07776744815,5124.07776744815
"log_freq",1,5110.3556401913,5116.3556401913
"<none>",NA,5105.80261550294,5113.80261550294
