"","CumErr","CumPres","stimlen","log_freq"
"McFadden",0.145241023977522,0.054662384384615,0.0227271386222334,0.0433020978006957
"SquaredCorrelation",0.109922021300523,0.0416096003781623,0.0180975644236526,0.0338564316619329
"Nagelkerke",0.19118970223678,0.0723724601528448,0.0314774775102559,0.0588872094204661
"Estrella",0.12715902833864,0.047834919513726,0.0197122727408429,0.0376942653788829
