"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumPres","I(pos^2)","pos"
"preserved ~ CumPres + I(pos^2) + pos",2348.18888979828,0,1,0.999999860542789,0.0433377714583646,2.59448153895071,0.706704529093649,-0.0027230660170432,-0.461300084904593
"preserved ~ CumPres",2379.75990831858,31.5710185202956,1.39457037204571e-07,1.39457017756282e-07,0.0257699421286566,2.02074568974607,0.206678711953744,NA,NA
"preserved ~ I(pos^2) + pos",2406.73516686089,58.5462770626123,1.93569740509349e-13,1.93569713514653e-13,0.0131328659456504,1.97111345322312,NA,-0.00228088853006421,0.153813286669465
