"","Df","Deviance","AIC"
"CumErr",1,661.205449962289,688.308404038737
"CumPres",1,617.066465438644,644.169419515091
"log_freq",1,595.85012501751,622.953079093957
"stimlen",1,584.363408522655,611.466362599103
"<none>",NA,580.644340702176,609.747294778624
