"Description","ParameterValue"
"min preserved",0.541666666666667
"max preserved",1.04166666666667
"mean change in probability for each additional length: ",-0.0432455717281815
"mean change in probability for each additional position (excluding  U-shape): ",0.0182711080217351
"U-shape",0
