"","NagContributions","NagPercents"
"CumErr",0.0528237436364285,0.80022603488741
"I(pos^2)",0.0045404046079629,0.0687825157039615
"pos",0.00593235338909702,0.0898691251945687
"log_freq",0.00271452691778923,0.0411223242140603
