"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumPres","CumErr","I(pos^2)","pos","stimlen"
"preserved ~ CumErr",1226.7969913288,0,1,1,0.185650670583459,3.59059594226868,NA,-1.58465042448066,NA,NA,NA
"preserved ~ (I(pos^2) + pos)",1422.18237242153,195.385381092738,3.73769253725725e-43,3.73769253725725e-43,0.0398114181865499,5.11609513349897,NA,NA,0.053276909154944,-0.728474623083623,NA
"preserved ~ pos",1432.51380063824,205.716809309444,2.13384289457959e-45,2.13384289457959e-45,0.0313184391563334,4.11424050221972,NA,NA,NA,-0.215243886911518,NA
"preserved ~ stimlen",1451.88371034756,225.086719018763,1.32751669101865e-49,1.32751669101865e-49,0.0124986210408723,4.65145795343515,NA,NA,NA,NA,-0.185876306518508
"preserved ~ CumPres",1465.10264855314,238.305657224342,1.78889162386113e-52,1.78889162386113e-52,0.00273738076320006,3.3690570730258,-0.0693555359269773,NA,NA,NA,NA
"preserved ~ 1",1465.38768322135,238.590691892555,1.55127766194439e-52,1.55127766194439e-52,0,3.1825889855133,NA,NA,NA,NA,NA
