"","Df","Deviance","AIC"
"CumErr",1,1367.02373775759,1471.55763693106
"pos",1,1180.44953237774,1284.98343155121
"I(pos^2)",1,1179.22443988064,1283.75833905411
"log_freq",1,1165.34009986185,1269.87399903532
"<none>",NA,1157.82291178406,1264.35681095753
