"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos"
"preserved ~ CumErr + I(pos^2) + pos",2214.49228476889,0,1,0.95883795002798,0.0964336013339183,2.70125602755155,-0.953049763568728,0.0165015747876514,-0.0651064792033434
"preserved ~ CumErr",2220.78869550459,6.29641073569928,0.0429290997199464,0.0411620499720201,0.091892904321349,2.73886280416035,-0.86410682765034,NA,NA
"preserved ~ I(pos^2) + pos",2392.21329131974,177.721006550856,2.56078883920311e-39,2.45538152103604e-39,0.00345315139501613,2.77597343258026,NA,0.00797880355726642,-0.132372213065618
