"","Df","Deviance","AIC"
"CumErr",1,2220.54883708035,2356.55485666834
"log_freq",1,2075.92757841659,2211.93359800458
"I(pos^2)",1,2062.44789483793,2198.45391442592
"<none>",NA,2060.33428844596,2198.34030803395
"pos",1,2060.67251248305,2196.67853207105
