"","model","p_accounted_for","model_deviance","diff_CumErr+pos","diff_CumErr","diff_CumErr+pos+I(pos^2)","diff_CumErr+pos+I(pos^2)+log_freq"
"1","preserved ~ CumErr+pos",0.846139079564029,1185.92607011316,0,-0.00849524680443847,-0.0373733355247405,-0.040716682613857
"2","preserved ~ CumErr",0.854634326368468,1187.83260400046,0.00849524680443847,0,-0.0288780887203021,-0.0322214358094185
"3","preserved ~ CumErr+pos+I(pos^2)",0.88351241508877,1165.34009986185,0.0373733355247405,0.0288780887203021,0,-0.00334334708911643
"4","preserved ~ CumErr+pos+I(pos^2)+log_freq",0.886855762177886,1157.82291178406,0.040716682613857,0.0322214358094185,0.00334334708911643,0
