"","stimlen","1","2","3","4","5","6","7","8","9"
"1",4,60,60,60,NA,NA,NA,NA,NA,NA
"2",5,95,95,95,95,NA,NA,NA,NA,NA
"3",6,120,120,120,120,120,NA,NA,NA,NA
"4",7,115,115,115,115,115,115,NA,NA,NA
"5",8,155,155,155,155,155,155,155,NA,NA
"6",9,93,93,93,93,93,93,93,93,NA
"7",10,84,84,84,84,84,84,84,84,84
