"","model","p_accounted_for","model_deviance","diff_CumErr","diff_CumErr+pos+stimlen+log_freq","diff_CumErr+pos+stimlen","diff_CumErr+pos"
"1","preserved ~ CumErr",0.640857557584833,1775.46123516806,0,-0.240065002917838,-0.242820981344447,-0.244093766245384
"2","preserved ~ CumErr+pos+stimlen+log_freq",0.880922560502671,1655.46958208298,0.240065002917838,0,-0.00275597842660913,-0.0040287633275462
"3","preserved ~ CumErr+pos+stimlen",0.88367853892928,1660.4812192671,0.242820981344447,0.00275597842660913,0,-0.00127278490093707
"4","preserved ~ CumErr+pos",0.884951323830217,1679.15705476111,0.244093766245384,0.0040287633275462,0.00127278490093707,0
