"Description","ParameterValue"
"min preserved",0.811842105263158
"max preserved",1.01710526315789
"mean change in probability for each additional length: ",-0.00970482337996222
"mean change in probability for each additional position (excluding  U-shape): ",0.0115855933633507
"U-shape",0
