"","stimlen","1","2","3","4","5","6","7","8","9"
"1",4,58,58,58,NA,NA,NA,NA,NA,NA
"2",5,91,91,91,91,NA,NA,NA,NA,NA
"3",6,113,113,113,113,113,NA,NA,NA,NA
"4",7,108,108,108,108,108,108,NA,NA,NA
"5",8,146,146,146,146,146,146,146,NA,NA
"6",9,83,83,83,83,83,83,83,83,NA
"7",10,80,80,80,80,80,80,80,80,80
