"","Df","Deviance","AIC"
"CumErr",1,1558.76997968454,1667.69447710624
"pos",1,1393.37357237472,1502.29806979642
"log_freq",1,1369.07076718597,1477.99526460766
"stimlen",1,1360.04512461717,1468.96962203887
"<none>",NA,1351.07490764785,1461.99940506955
