"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","pos","log_freq","stimlen"
"preserved ~ CumErr + pos + stimlen + log_freq",1461.99940506955,0,1,0.985794969546619,0.185417062378326,3.66063871748979,-1.27551785320209,0.271686575737536,0.172822203377159,-0.14966132325861
"preserved ~ CumErr + pos + log_freq",1470.48848016524,8.48907509569267,0.0143423648030963,0.0141386310742949,0.179075545735213,2.6154941805824,-1.29292501037,0.240103024361412,0.194955186994505,NA
"preserved ~ CumErr + pos + stimlen",1481.21141034755,19.2120052780028,6.73234030877934e-05,6.63670720967061e-05,0.172681019673171,3.8906522013381,-1.29134376881325,0.268139312010261,NA,-0.185481128050395
"preserved ~ CumErr + pos",1496.46675574483,34.4673506752804,3.27725245864759e-08,3.23069898766908e-08,0.162210922543356,2.60618397704912,-1.3210286255422,0.225486040163631,NA,NA
"preserved ~ 1",1735.61476197417,273.615356904617,3.84751362249529e-60,3.79285957431794e-60,0,2.93821039001062,NA,NA,NA,NA
