"","CumErr","pos","stimlen","log_freq"
"McFadden",0.124699022327508,0.0123794427273317,0.00937619350618607,0.015989364806614
"SquaredCorrelation",0.0503187842365554,0.00486777464095104,0.00382910641989559,0.00648545762629253
"Nagelkerke",0.0503187842365554,0.00486777464095104,0.00382910641989559,0.00648545762629253
"Estrella",0.0546150441371304,0.00564298094205124,0.00404038514918536,0.00696175650075989
