"model","deviance","deviance_explained","percent_explained","percent_of_explained_deviance","increment_in_explained"
"CumErr + pos + log_freq + stimlen",1351.07490764785,254.60140431951,15.8563343322639,100,3.52323939190114
"CumErr + pos + log_freq",1360.04512461717,245.631187350191,15.297677714958,96.4767606080989,9.33287295128136
"CumErr + pos",1383.80675021449,221.869561752873,13.8178261769974,87.1438876568175,11.9034103366033
"CumErr",1414.1130000934,191.563311873968,11.9303816370844,75.2404773202142,75.2404773202142
"null",1605.67631196736,0,0,NA,0
