"","model","p_accounted_for","model_deviance","diff_CumErr+log_freq+I(pos^2)+pos","diff_CumErr+log_freq+I(pos^2)","diff_CumErr","diff_CumErr+log_freq"
"1","preserved ~ CumErr+log_freq+I(pos^2)+pos",0.841067014653847,2060.33428844596,0,-0.00219353811489342,-0.0113834537871925,-0.0186130989300106
"2","preserved ~ CumErr+log_freq+I(pos^2)",0.843260552768741,2060.67251248305,0.00219353811489342,0,-0.0091899156722991,-0.0164195608151172
"3","preserved ~ CumErr",0.85245046844104,2084.09347992468,0.0113834537871925,0.0091899156722991,0,-0.0072296451428181
"4","preserved ~ CumErr+log_freq",0.859680113583858,2071.20483933873,0.0186130989300106,0.0164195608151172,0.0072296451428181,0
