"","model","p_accounted_for","model_deviance","diff_CumErr+pos","diff_CumErr","diff_CumErr+pos+I(pos^2)","diff_CumErr+pos+I(pos^2)+stimlen"
"1","preserved ~ CumErr+pos",0.940433819258924,1916.05714359676,0,-0.000796106733526258,-0.0102973579263242,-0.0124251996363617
"2","preserved ~ CumErr",0.94122992599245,1922.68563085633,0.000796106733526258,0,-0.00950125119279799,-0.0116290929028354
"3","preserved ~ CumErr+pos+I(pos^2)",0.950731177185248,1883.00421413014,0.0102973579263242,0.00950125119279799,0,-0.00212784171003744
"4","preserved ~ CumErr+pos+I(pos^2)+stimlen",0.952859018895285,1878.53358002084,0.0124251996363617,0.0116290929028354,0.00212784171003744,0
