"","model","p_accounted_for","model_deviance","diff_CumErr","diff_CumErr+I(pos^2)","diff_CumErr+I(pos^2)+pos","diff_CumErr+I(pos^2)+pos+stimlen"
"1","preserved ~ CumErr",0.889647069408056,973.242799399774,0,-0.00926509510815421,-0.0244790545441461,-0.0261626708755175
"2","preserved ~ CumErr+I(pos^2)",0.89891216451621,972.957335883031,0.00926509510815421,0,-0.0152139594359919,-0.0168975757673633
"3","preserved ~ CumErr+I(pos^2)+pos",0.914126123952202,964.985456595174,0.0244790545441461,0.0152139594359919,0,-0.00168361633137137
"4","preserved ~ CumErr+I(pos^2)+pos+stimlen",0.915809740283574,962.043419573718,0.0261626708755175,0.0168975757673633,0.00168361633137137,0
