"","Df","Deviance","AIC"
"CumErr",1,3307.04165270819,3563.70312553455
"pos",1,2755.80110091684,3012.4625737432
"I(pos^2)",1,2740.47281009514,2997.1342829215
"log_freq",1,2711.46524192966,2968.12671475602
"stimlen",1,2710.07537419356,2966.73684701991
"<none>",NA,2704.64293635629,2963.30440918265
