"Description","ParameterValue"
"min preserved",0.0375
"max preserved",1.0875
"mean change in probability for each additional length: ",-0.0275120346224935
"mean change in probability for each additional position (excluding  U-shape): ",-0.0462616925916565
"U-shape",0
