"","NagContributions","NagPercents"
"CumErr",0.21633407462339,0.694003043167757
"I(pos^2)",0.0363313021321987,0.116551376780969
"pos",0.0410958113251576,0.131835995650514
"stimlen",0.0179580136621445,0.0576095844007597
