"","model","p_accounted_for","model_deviance","diff_CumErr","diff_CumErr+pos+log_freq","diff_CumErr+pos","diff_CumErr+pos+log_freq+I(pos^2)"
"1","preserved ~ CumErr",0.817785060945531,1662.43314733724,0,-0.0401611713184472,-0.0447271615664947,-0.0732739312576669
"2","preserved ~ CumErr+pos+log_freq",0.857946232263978,1622.84651811568,0.0401611713184472,0,-0.00456599024804749,-0.0331127599392197
"3","preserved ~ CumErr+pos",0.862512222512026,1635.88389917962,0.0447271615664947,0.00456599024804749,0,-0.0285467696911722
"4","preserved ~ CumErr+pos+log_freq+I(pos^2)",0.891058992203198,1617.63034729504,0.0732739312576669,0.0331127599392197,0.0285467696911722,0
