"","Df","Deviance","AIC"
"CumErr",1,3945.38560972599,4432.04247938294
"pos",1,3882.68161292954,4369.33848258649
"I(pos^2)",1,3842.19306162582,4328.84993128276
"stimlen",1,3806.40007568916,4293.05694534611
"<none>",NA,3798.21409925542,4286.87096891237
