"","model","p_accounted_for","model_deviance","diff_CumErr","diff_CumErr+pos","diff_CumErr+pos+I(pos^2)","diff_CumErr+pos+I(pos^2)+stimlen"
"1","preserved ~ CumErr",0.579523927489205,3953.63783745462,0,-0.0523971972436219,-0.0878412605224865,-0.0923978480537332
"2","preserved ~ CumErr+pos",0.631921124732827,3845.42705812041,0.0523971972436219,0,-0.0354440632788646,-0.0400006508101113
"3","preserved ~ CumErr+pos+I(pos^2)",0.667365188011692,3806.40007568916,0.0878412605224865,0.0354440632788646,0,-0.00455658753124666
"4","preserved ~ CumErr+pos+I(pos^2)+stimlen",0.671921775542938,3798.21409925542,0.0923978480537332,0.0400006508101113,0.00455658753124666,0
