"","CumErr","CumPres","log_freq"
"McFadden",0.0360882163294548,0.0173175738952244,0.0078030698776271
"SquaredCorrelation",0.0138967336798226,0.00666514932691475,0.00300809519135636
"Nagelkerke",0.0138967336798226,0.00666514932691475,0.00300809519135636
"Estrella",0.0143337496264439,0.00688488676617915,0.00309432573206664
