"","Df","Deviance","AIC"
"CumErr",1,1666.21597161231,1672.21597161231
"CumPres",1,1638.77003970816,1644.77003970816
"log_freq",1,1617.64667866588,1623.64667866588
"<none>",NA,1605.64153907723,1613.64153907723
