"","model","p_accounted_for","model_deviance","diff_CumErr","diff_CumErr+CumPres+log_freq","diff_CumErr+CumPres"
"1","preserved ~ CumErr",0.791995459190973,1647.55595263354,0,-0.0501759214013026,-0.0511797829073036
"2","preserved ~ CumErr+CumPres+log_freq",0.842171380592275,1605.64153907723,0.0501759214013026,0,-0.00100386150600107
"3","preserved ~ CumErr+CumPres",0.843175242098276,1617.64667866588,0.0511797829073036,0.00100386150600107,0
