"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumPres","CumErr","I(pos^2)","pos","stimlen"
"preserved ~ CumErr",1436.14333525031,0,1,0.999999995879625,0.0550058405610179,3.3097728110993,NA,-1.12021517509889,NA,NA,NA
"preserved ~ CumPres",1474.75867107667,38.6153358263555,4.11894854706974e-09,4.11894853009812e-09,0.0246755970982296,2.5686349828944,0.231323457833401,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos)",1490.70399118508,54.5606559347707,1.42005151417503e-12,1.42005150832388e-12,0.0136519259142643,2.10692201317917,NA,NA,-0.0553548752180722,0.536997366527964,NA
"preserved ~ pos",1502.47261581593,66.3292805656229,3.95166145540966e-15,3.95166143912733e-15,0.00273109290901335,2.81047064673292,NA,NA,NA,0.0666281930442626,NA
"preserved ~ 1",1503.90867372744,67.7653384771311,1.92727513148056e-15,1.92727512353946e-15,0,3.05814554487855,NA,NA,NA,NA,NA
"preserved ~ stimlen",1505.87750847725,69.7341732269388,7.20139584386273e-16,7.20139581419028e-16,2.47814602312762e-05,3.11855942885325,NA,NA,NA,NA,-0.00787303266466044
