"","model","p_accounted_for","model_deviance","diff_stimlen","diff_stimlen+pos","diff_stimlen+pos+I(pos^2)","diff_stimlen+pos+I(pos^2)+log_freq"
"1","preserved ~ stimlen",0.398289160099742,4871.86328164902,0,-0.00550178210600438,-0.0875169703449317,-0.0888335332673442
"2","preserved ~ stimlen+pos",0.403790942205747,4869.605016588,0.00550178210600438,0,-0.0820151882389273,-0.0833317511613398
"3","preserved ~ stimlen+pos+I(pos^2)",0.485806130444674,4853.05917215267,0.0875169703449317,0.0820151882389273,0,-0.0013165629224125
"4","preserved ~ stimlen+pos+I(pos^2)+log_freq",0.487122693367086,4846.17076251962,0.0888335332673442,0.0833317511613398,0.0013165629224125,0
