"","stimlen","I(pos^2)","pos","log_freq"
"McFadden",0.013270121801909,0.00268325936978586,0.00379646234214033,0.00295957578826382
"SquaredCorrelation",0.017868710137058,0.00361748300757321,0.00512277126185296,0.00400773449905211
"Nagelkerke",0.017868710137058,0.00361748300757321,0.00512277126185296,0.00400773449905211
"Estrella",0.0180877819354466,0.00365854758618584,0.00517763176872766,0.00404021371555
