"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","pos"
"preserved ~ stimlen + pos",5462.02542417645,0,1,0.677141344579417,0.0321420402349111,1.22533908745637,-0.168107478560123,-0.0242364964297744
"preserved ~ stimlen",5463.50675498396,1.48133080751359,0.476796547729799,0.32285865542058,0.0313709764055795,1.22461653034932,-0.180110093592961,NA
"preserved ~ pos",5528.48711930375,66.4616951273074,3.69850554483679e-15,2.50441101756522e-15,0.00899740530304471,0.120997519779023,NA,-0.0746981849926987
