"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","CumPres"
"preserved ~ stimlen",5463.50675498396,0,1,0.681212727007766,0.0313709764055795,1.22461653034932,-0.180110093592961,NA
"preserved ~ stimlen + CumPres",5465.02545619859,1.51870121463526,0.467970224796754,0.318787272992234,0.0313959619093751,1.22165699726785,-0.180935020797493,0.00731046903389948
"preserved ~ CumPres",5559.27425883775,95.7675038537855,1.60085046072441e-21,1.09051970788171e-21,0.000538840723795404,-0.125131607270339,NA,-0.0328122500734125
