"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumPres","CumErr","I(pos^2)","pos","stimlen"
"preserved ~ CumErr",1069.13836611555,0,1,1,0.171141576210449,3.67308154121082,NA,-1.71915024915031,NA,NA,NA
"preserved ~ (I(pos^2) + pos)",1213.86836122182,144.729995106274,3.73491635220433e-32,3.73491635220433e-32,0.042827900560608,5.26814831642072,NA,NA,0.0467051161173318,-0.696476414950342,NA
"preserved ~ pos",1218.7083522225,149.569986106954,3.32116297520631e-33,3.32116297520631e-33,0.0365660677085222,4.36043330898679,NA,NA,NA,-0.23977497086737,NA
"preserved ~ stimlen",1247.72097695296,178.582610837415,1.66448074189218e-39,1.66448074189218e-39,0.0098895036121463,4.64766262617062,NA,NA,NA,NA,-0.170098133925808
"preserved ~ CumPres",1255.07109933643,185.932733220889,4.21910154904715e-41,4.21910154904715e-41,0.00310122508749442,3.51268559638094,-0.0760614937788569,NA,NA,NA,NA
"preserved ~ 1",1256.42462925496,187.286263139417,2.14439453194988e-41,2.14439453194988e-41,-8.43466064888854e-16,3.30751805520143,NA,NA,NA,NA,NA
