"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumPres","CumErr","I(pos^2)","pos","stimlen"
"preserved ~ CumErr",1132.46225675368,0,1,1,0.184580394158102,3.70223133147487,NA,-1.76004748690059,NA,NA,NA
"preserved ~ (I(pos^2) + pos)",1298.1460218856,165.683765131924,1.05251315133187e-36,1.05251315133187e-36,0.0479546233941047,5.39449029463694,NA,NA,0.0496099625304684,-0.741072598288922,NA
"preserved ~ pos",1304.36150666722,171.899249913541,4.70491909335493e-38,4.70491909335493e-38,0.0409622826942919,4.41735473336351,NA,NA,NA,-0.253538546972275,NA
"preserved ~ stimlen",1341.51380596963,209.05154921595,4.0274751652322e-46,4.0274751652322e-46,0.00917771539858209,4.59004194742937,NA,NA,NA,NA,-0.163613451263387
"preserved ~ CumPres",1348.4689953964,216.006738642718,1.24374880583969e-47,1.24374880583969e-47,0.00319751014319481,3.51653318882947,-0.0738972182938193,NA,NA,NA,NA
"preserved ~ 1",1350.18330446576,217.72104771208,5.27807056518267e-48,5.27807056518267e-48,0,3.30293412787484,NA,NA,NA,NA,NA
