"","CumErr","I(pos^2)","pos","log_freq"
"McFadden",0.144371172236428,0.0138234490445741,0.0190681084203993,0.00504668628823456
"SquaredCorrelation",0.0429514680778471,0.0041589043997052,0.0057344565064481,0.00150821233780421
"Nagelkerke",0.162686122197994,0.0157525705094393,0.0217202469134754,0.00571261536960337
"Estrella",0.0476010602341161,0.00444549649142154,0.00613594364548369,0.00165131664419776
