"","Df","Deviance","AIC"
"CumErr",1,1286.37815251481,1294.37815251481
"pos",1,1120.77029624565,1128.77029624565
"I(pos^2)",1,1117.42672779468,1125.42672779468
"log_freq",1,1108.29988436557,1116.29988436557
"<none>",NA,1102.39679358163,1112.39679358163
