"model","deviance","deviance_explained","percent_explained","percent_of_explained_deviance","increment_in_explained"
"CumErr + pos + I(pos^2) + log_freq",1102.39679358163,245.786510884131,18.2309415989636,100,2.40171470871515
"CumErr + pos + I(pos^2)",1108.29988436557,239.883420100189,17.7930863930441,97.5982852912849,5.86386137727686
"CumErr + pos",1122.71246464786,225.470839817898,16.7240492499085,91.734423914008,2.33934404501485
"CumErr",1128.46225675368,219.72104771208,16.297564803263,89.3950798689931,89.3950798689931
"null",1348.18330446576,0,0,NA,0
