"","stimlen","1","2","3","4","5","6","7","8","9"
"1",4,51,51,51,NA,NA,NA,NA,NA,NA
"2",5,83,83,83,83,NA,NA,NA,NA,NA
"3",6,105,104,105,105,105,NA,NA,NA,NA
"4",7,109,109,107,107,109,109,NA,NA,NA
"5",8,143,142,141,139,142,141,145,NA,NA
"6",9,86,87,87,86,85,85,86,87,NA
"7",10,77,75,75,75,76,75,75,76,77
