"","Df","Deviance","AIC"
"CumErr",1,3012.71555778318,3431.3636233696
"I(pos^2)",1,2898.50175639711,3317.14982198353
"pos",1,2897.6893403191,3316.33740590551
"stimlen",1,2888.55318840029,3307.2012539867
"log_freq",1,2884.36660278711,3303.01466837352
"<none>",NA,2881.35499506991,3302.00306065632
